title,price,location,url
99m² Büro,1’035 CHF,4127 Birsfelden,https://flatfox.ch/de/wohnung/hauptstrasse-52-4127-birsfelden/1602015/
3 Zimmer-Wohnung,1’960 CHF,4056 Basel,https://flatfox.ch/de/wohnung/kannenfeldstrasse-52-4056-basel/1601976/
70m² Büro,1’750 CHF,4132 Muttenz,https://flatfox.ch/de/wohnung/hofackerstrasse-15-4132-muttenz/1601711/
3 Zimmer-Wohnung,1’490 CHF,4057 Basel,https://flatfox.ch/de/wohnung/klybeckstrasse-1-4057-4057-basel/1572270/
3 ½ Zimmer-Wohnung,1’850 CHF,4058 Basel,https://flatfox.ch/de/wohnung/baumlihofstrasse-106-4058-basel/1601285/
3 ½ Zimmer-Wohnung,1’900 CHF,4102 Binningen,https://flatfox.ch/de/wohnung/auf-anfrage-4102-binningen/1601071/
3 ½ Zimmer-Wohnung,2’000 CHF,4056 Basel,https://flatfox.ch/de/wohnung/metzerstrasse-4056-basel/1600979/
4 ½ Zimmer-Wohnung,1’950 CHF,4107 Ettingen,https://flatfox.ch/de/wohnung/kammermattweg-10-4107-ettingen/1600830/
4 ½ Zimmer-Maisonette,2’200 CHF,4123 Allschwil,https://flatfox.ch/de/wohnung/auf-anfrage-4123-allschwil/1600748/
3 Zimmer-Wohnung,1’870 CHF,4052 Basel,https://flatfox.ch/de/wohnung/beim-goldenen-lowen-9-4052-basel/1600122/
3 Zimmer-Wohnung,1’585 CHF,4058 Basel,https://flatfox.ch/de/wohnung/schopfheimerstr-8-4058-basel/1600119/
3 Zimmer-Wohnung,1’585 CHF,4058 Basel,https://flatfox.ch/de/wohnung/laufenburgerstr-2-4058-basel/1600118/
3 ½ Zimmer-Wohnung,2’187 CHF,4410 Liestal,https://flatfox.ch/de/wohnung/heidenlochstr-98h-4410-liestal/1600104/
3 ½ Zimmer-Wohnung,2’000 CHF,4052 Basel,https://flatfox.ch/de/wohnung/auf-anfrage-4052-basel/1600079/
733m² Büro,283 CHF / m²,4133 Pratteln,https://flatfox.ch/de/wohnung/auf-anfrage-4133-pratteln/1600059/
3 ½ Zimmer-Wohnung,2’180 CHF,4242 Laufen,https://flatfox.ch/de/wohnung/bahnhofstrasse-2-4242-laufen/1570155/
2 ½ Zimmer-Wohnung,1’580 CHF,4055 Basel,https://flatfox.ch/de/wohnung/turkheimerstr-10-4055-basel/1581739/
4 ½ Zimmer-Wohnung,2’050 CHF,4123 Allschwil,https://flatfox.ch/de/wohnung/bettenstr-51a-4123-allschwil/1600046/
4 ½ Zimmer-Wohnung,2’030 CHF,4123 Allschwil,https://flatfox.ch/de/wohnung/bettenstr-53a-4123-allschwil/1600043/
3 ½ Zimmer-Wohnung,1’975 CHF,4127 Birsfelden,https://flatfox.ch/de/wohnung/gempenstr-1-4127-birsfelden/1569110/
3 ½ Zimmer-Wohnung,1’780 CHF,4123 Allschwil,https://flatfox.ch/de/wohnung/saturnstrasse-49-4123-allschwil/1599927/
3 Zimmer-Wohnung,1’720 CHF,4125 Riehen,https://flatfox.ch/de/wohnung/unterm-schellenberg-125-4125-riehen/1599849/
3 Zimmer-Wohnung,1’880 CHF,4052 Basel,https://flatfox.ch/de/wohnung/st-jakobs-strasse-81-4052-basel/1599840/
3 ½ Zimmer-Wohnung,1’700 CHF,4222 Zwingen,https://flatfox.ch/de/wohnung/4222-zwingen/1599796/
3 ½ Zimmer-Wohnung,2’030 CHF,4132 Muttenz,https://flatfox.ch/de/wohnung/grundenstrasse-52-54-4132-muttenz/1599211/
4 Zimmer-Wohnung,1’975 CHF,4107 Ettingen,https://flatfox.ch/de/wohnung/kirchbundtenstr-36-4107-ettingen/1599770/
3 Zimmer-Wohnung,2’190 CHF,4053 Basel,https://flatfox.ch/de/wohnung/meltingerstrasse-5-4053-basel/1599721/
3 Zimmer-Wohnung,1’800 CHF,4102 Binningen,https://flatfox.ch/de/wohnung/bollwerkstrasse-30b-4102-binningen/1527488/
76m² Gewerbe,1’400 CHF,4142 Münchenstein,https://flatfox.ch/de/wohnung/emil-frey-strasse-43-4142-munchenstein/1598672/
4 Zimmer-Wohnung,1’890 CHF,4145 Gempen,https://flatfox.ch/de/wohnung/auf-anfrage-4145-gempen/1598576/
4 ½ Zimmer-Wohnung,1’630 CHF,4112 Flüh,https://flatfox.ch/de/wohnung/auf-anfrage-4112-fluh/1598574/
3 Zimmer-Wohnung,1’730 CHF,4107 Ettingen,https://flatfox.ch/de/wohnung/auf-anfrage-4107-ettingen/1598524/
4 Zimmer-Wohnung,2’090 CHF,4242 Laufen,https://flatfox.ch/de/wohnung/bahnhofstrasse-2-4242-laufen/1598467/
3 ½ Zimmer-Wohnung,1’890 CHF,4123 Allschwil,https://flatfox.ch/de/wohnung/baselmattweg-145-4123-allschwil/1575505/
4 Zimmer-Wohnung,2’090 CHF,4242 Laufen,https://flatfox.ch/de/wohnung/bahnhofstrasse-2-4242-laufen/1258272/
4 ½ Zimmer-Wohnung,1’750 CHF,4106 Therwil,https://flatfox.ch/de/wohnung/landskronstrasse-2-4106-therwil/1597638/
3 ½ Zimmer-Wohnung,2’100 CHF,4410 Liestal,https://flatfox.ch/de/wohnung/oristalstrasse-24b-4410-liestal/1567283/
3 ½ Zimmer-Wohnung,1’950 CHF,4123 Allschwil,https://flatfox.ch/de/wohnung/baselmattweg-200-4123-allschwil/1573206/
2 Zimmer-Wohnung,2’090 CHF,4057 Basel,https://flatfox.ch/de/wohnung/barenfelserstr-40-4057-basel/1597162/
3 ½ Zimmer-Wohnung,1’990 CHF,4058 Basel,https://flatfox.ch/de/wohnung/tangentenweg-54-4058-basel/1597149/
3 ½ Zimmer-Wohnung,2’132 CHF,4058 Basel,https://flatfox.ch/de/wohnung/erlenmattstr-73-4058-basel/1597140/
3 ½ Zimmer-Wohnung,1’940 CHF,4153 Reinach BL,https://flatfox.ch/de/wohnung/predigerweg-3-4153-reinach-bl/1567295/
3 ½ Zimmer-Wohnung,2’045 CHF,4123 Allschwil,https://flatfox.ch/de/wohnung/heuwinkelstrasse-15-4123-allschwil/1596282/
3 ½ Zimmer-Dachwohnung,1’990 CHF,4051 Basel,https://flatfox.ch/de/wohnung/arnold-bocklin-strasse-29-4051-basel/1595738/
3 Zimmer-Wohnung,1’850 CHF,4053 Basel,https://flatfox.ch/de/wohnung/gundeldingerstrasse-484-4053-basel/1594594/
3 Zimmer-Wohnung,1’790 CHF,4054 Basel,https://flatfox.ch/de/wohnung/holeestr-116-4054-basel/1594577/
4 ½ Zimmer-Wohnung,2’070 CHF,4144 Arlesheim,https://flatfox.ch/de/wohnung/hofmattweg-43-4144-arlesheim/1413543/
3 Zimmer-Wohnung,1’690 CHF,4142 Münchenstein,https://flatfox.ch/de/wohnung/therwilerstrasse-11-4142-munchenstein/1593367/
3 Zimmer-Wohnung,1’673 CHF,4055 Basel,https://flatfox.ch/de/wohnung/hegenheimerstrasse-26-4055-basel/1520840/
4 ½ Zimmer-Maisonette,2’095 CHF,4153 Reinach BL,https://flatfox.ch/de/wohnung/fasanenstr-7-4153-reinach-bl/1510866/
3 ½ Zimmer-Wohnung,1’680 CHF,4052 Basel,https://flatfox.ch/de/wohnung/grellingerstrasse-42-4052-basel/1592807/
3 Zimmer-Wohnung,1’367 CHF,4055 Basel,https://flatfox.ch/de/wohnung/blotzheimerstr-44-4055-basel/1592783/
3 Zimmer-Wohnung,1’745 CHF,4153 Reinach,https://flatfox.ch/de/wohnung/romerstrasse-27-4153-reinach/1592267/
3 ½ Zimmer-Wohnung,2’070 CHF,4144 Arlesheim,https://flatfox.ch/de/wohnung/4144-arlesheim/1592173/
3 ½ Zimmer-Wohnung,1’490 CHF,4054 Basel,https://flatfox.ch/de/wohnung/belchenstrasse-17-4054-basel/1591554/
4 ½ Zimmer-Maisonette,1’914 CHF,4412 Nuglar,https://flatfox.ch/de/wohnung/auf-anfrage-4412-nuglar/1591220/
117m² Büro,1’850 CHF,4053 Basel,https://flatfox.ch/de/wohnung/auf-anfrage-4053-basel/1591203/
175m² Büro,1’900 CHF,4203 Grellingen,https://flatfox.ch/de/wohnung/auf-anfrage-4203-grellingen/1591132/
4 ½ Zimmer-Wohnung,1’730 CHF,4143 Dornach,https://flatfox.ch/de/wohnung/klostergasse-23-4143-dornach/1558811/
70m² Gewerbe,800 CHF,4051 Basel,https://flatfox.ch/de/wohnung/austrasse-14-4051-basel/1591006/
3 Zimmer-Wohnung,1’790 CHF,4414 Füllinsdorf,https://flatfox.ch/de/wohnung/ergolzstrasse-14-4414-fullinsdorf/1590957/
3 ½ Zimmer-Wohnung,2’000 CHF,4051 basel,https://flatfox.ch/de/wohnung/elisabethenstrasse-34-4051-basel/1589080/
1674m² Büro,180 CHF / m²,4416 Bubendorf,https://flatfox.ch/de/wohnung/auf-anfrage-4416-bubendorf/1586359/
3 ½ Zimmer-Wohnung,2’200 CHF,4055 Basel,https://flatfox.ch/de/wohnung/allschwilerstrasse-2-4055-basel/1524029/
3 ½ Zimmer-Wohnung,1’700 CHF,4105 Biel-Benken,https://flatfox.ch/de/wohnung/muhlegasse-6-4105-biel-benken/1585887/
3 ½ Zimmer-Wohnung,2’025 CHF,4058 Basel,https://flatfox.ch/de/wohnung/schwarzwaldallee-269-4058-basel/1585832/
4 ½ Zimmer-Wohnung,2’250 CHF,4402 Frenkendorf,https://flatfox.ch/de/wohnung/muhlackerstr-27-4402-frenkendorf/1585811/
3 ½ Zimmer-Wohnung,2’090 CHF,4102 Binningen,https://flatfox.ch/de/wohnung/bottmingerstr-119-4102-binningen/1585805/
3 ½ Zimmer-Wohnung,2’110 CHF,4102 Binningen,https://flatfox.ch/de/wohnung/bottmingerstr-119-4102-binningen/1585804/
3 ½ Zimmer-Wohnung,1’880 CHF,4058 Basel,https://flatfox.ch/de/wohnung/erlkonigweg-25-4058-basel/1585644/
3 Zimmer-Wohnung,2’030 CHF,4052 Basel,https://flatfox.ch/de/wohnung/froburgstrasse-3-4052-basel/1585505/
4 Zimmer-Wohnung,1’595 CHF,4144 Arlesheim,https://flatfox.ch/de/wohnung/im-tal-8-4144-arlesheim/1584533/
4 Zimmer-Wohnung,1’232 CHF,4055 Basel,https://flatfox.ch/de/wohnung/felsplattenstrasse-4055-basel/1584485/
3 ½ Zimmer-Wohnung,2’065 CHF,4058 Basel,https://flatfox.ch/de/wohnung/rheinfelderstrasse-1-4058-basel/1237801/
3 Zimmer-Wohnung,1’690 CHF,4102 Binningen,https://flatfox.ch/de/wohnung/hauptstrasse-40-4102-binningen/1583959/
993m² Büro,283 CHF / m²,4133 Pratteln,https://flatfox.ch/de/wohnung/auf-anfrage-4133-pratteln/1583888/
3 ½ Zimmer-Wohnung,2’190 CHF,4058 Basel,https://flatfox.ch/de/wohnung/tangentenweg-11-haus-b-4058-basel/1583871/
3 ½ Zimmer-Wohnung,1’794 CHF,4058 Basel,https://flatfox.ch/de/wohnung/fasanenstr-150-4058-basel/1553896/
3 ½ Zimmer-Wohnung,1’900 CHF,4052 Basel,https://flatfox.ch/de/wohnung/karl-jaspers-allee-40-4052-basel/1539172/
3 ½ Zimmer-Wohnung,1’640 CHF,4052 Basel,https://flatfox.ch/de/wohnung/lehenmattstr-310-4052-basel/1539142/
3 Zimmer-Wohnung,1’280 CHF,4056 Basel,https://flatfox.ch/de/wohnung/4056-basel/1583816/
3 Zimmer-Wohnung,1’600 CHF,4142 Münchenstein,https://flatfox.ch/de/wohnung/tramstrasse-28-4142-munchenstein/1571427/
4 ½ Zimmer-Wohnung,2’130 CHF,4102 Binningen,https://flatfox.ch/de/wohnung/schafmattweg-92-4102-binningen/1583729/
4 ½ Zimmer-Wohnung,1’875 CHF,4133 Pratteln,https://flatfox.ch/de/wohnung/muttenzerstr-78-4133-pratteln/1583691/
2 ½ Zimmer-Wohnung,1’814 CHF,4053 Basel,https://flatfox.ch/de/wohnung/tellstr-62-4053-basel/1583686/
4 Zimmer-Wohnung,1’695 CHF,4410 Liestal,https://flatfox.ch/de/wohnung/im-pfauenhof-3-4410-liestal/1583643/
3 ½ Zimmer-Wohnung,1’940 CHF,4242 Laufen,https://flatfox.ch/de/wohnung/joseph-feninger-strasse-7-4242-laufen/1583335/
4 ½ Zimmer-Wohnung,2’130 CHF,4142 Münchenstein,https://flatfox.ch/de/wohnung/zollweidenstrasse-27-4142-munchenstein/1568656/
4 ½ Zimmer-Wohnung,1’545 CHF,4410 Liestal,https://flatfox.ch/de/wohnung/rosenstr-14-4410-liestal/1581708/
3 Zimmer-Wohnung,1’850 CHF,4123 Allschwil,https://flatfox.ch/de/wohnung/4123-allschwil/1581418/
3 Zimmer-Wohnung,1’430 CHF,4058 Basel,https://flatfox.ch/de/wohnung/4058-basel/1581388/
3 ½ Zimmer-Wohnung,1’890 CHF,4053 Basel,https://flatfox.ch/de/wohnung/hermann-suter-strasse-2-4053-basel/1581377/
4 ½ Zimmer-Wohnung,1’530 CHF,4106 Therwil,https://flatfox.ch/de/wohnung/brunnmattstrasse-4-4106-therwil/1581350/
3 ½ Zimmer-Wohnung,2’110 CHF,4058 Basel,https://flatfox.ch/de/wohnung/schorenweg-20-4058-basel/1581308/
2 ½ Zimmer-Wohnung,1’951 CHF,4410 Liestal,https://flatfox.ch/de/wohnung/heidenlochstr-98a-4410-liestal/1581304/
