title,price,location,url,meets_all_criteria,pets_allowed,bath_has_window,kitchen_floor_not_wood,has_dishwasher,has_washingmachine
99m² Büro,1’035 CHF,4127 Birsfelden,https://flatfox.ch/de/wohnung/hauptstrasse-52-4127-birsfelden/1602015/,False,False,False,False,False,False
3 Zimmer-Wohnung,1’960 CHF,4056 Basel,https://flatfox.ch/de/wohnung/kannenfeldstrasse-52-4056-basel/1601976/,False,False,False,False,True,True
70m² Büro,1’750 CHF,4132 Muttenz,https://flatfox.ch/de/wohnung/hofackerstrasse-15-4132-muttenz/1601711/,False,False,False,False,False,False
3 Zimmer-Wohnung,1’490 CHF,4057 Basel,https://flatfox.ch/de/wohnung/klybeckstrasse-1-4057-4057-basel/1572270/,False,False,False,False,False,False
3 ½ Zimmer-Wohnung,1’850 CHF,4058 Basel,https://flatfox.ch/de/wohnung/baumlihofstrasse-106-4058-basel/1601285/,False,False,False,False,True,False
3 ½ Zimmer-Wohnung,1’900 CHF,4102 Binningen,https://flatfox.ch/de/wohnung/auf-anfrage-4102-binningen/1601071/,False,True,False,False,False,True
3 ½ Zimmer-Wohnung,2’000 CHF,4056 Basel,https://flatfox.ch/de/wohnung/metzerstrasse-4056-basel/1600979/,False,False,False,False,True,True
4 ½ Zimmer-Wohnung,1’950 CHF,4107 Ettingen,https://flatfox.ch/de/wohnung/kammermattweg-10-4107-ettingen/1600830/,False,True,False,False,True,True
4 ½ Zimmer-Maisonette,2’200 CHF,4123 Allschwil,https://flatfox.ch/de/wohnung/auf-anfrage-4123-allschwil/1600748/,False,False,False,False,False,False
3 Zimmer-Wohnung,1’870 CHF,4052 Basel,https://flatfox.ch/de/wohnung/beim-goldenen-lowen-9-4052-basel/1600122/,False,False,False,False,True,False
